#{"t_start": 1785303116.127342, "env_id": "None"}
r,l,t,is_success
0.707944,100,6.412594,False
0.70914,100,9.900828,False
0.112872,100,13.505119,False
-0.279074,100,17.131761,False
0.878932,100,20.753587,False
1.028709,100,24.709593,False
1.075733,100,28.182209,False
0.334587,100,31.684323,False
0.879607,100,35.240127,False
0.657915,100,39.183716,False
0.469366,100,43.171133,False
0.95554,100,47.003408,False
0.777294,100,50.444053,False
22.586388,98,53.811622,True
-9.757168,93,57.003019,False
0.243417,100,60.813248,False
1.328397,100,64.172468,False
1.530607,100,67.610125,False
21.559098,49,69.313465,True
0.946886,100,72.955678,False
0.81561,100,76.257896,False
1.15669,100,80.026253,False
1.098419,100,83.543711,False
2.064658,100,86.952248,False
1.358336,100,90.390713,False
0.603273,100,99.645833,False
0.671724,100,103.596038,False
1.391527,100,107.121443,False
0.575224,100,110.638641,False
1.004386,100,114.265189,False
1.53067,100,118.148537,False
-10.247015,30,119.600522,False
0.748475,100,124.200063,False
1.010122,100,128.135576,False
-16.642531,56,131.371419,False
0.730374,100,136.332836,False
0.763387,100,141.060659,False
0.640974,100,146.595712,False
-18.202799,31,147.947466,False
1.283495,100,152.463612,False
-10.73938,34,153.878508,False
0.687438,100,159.366024,False
22.002829,71,163.409153,True
1.300608,100,167.754686,False
0.89887,100,173.282474,False
1.329202,100,177.664418,False
1.126271,100,181.717056,False
-13.16969,78,184.572416,False
0.863395,100,188.040298,False
-0.018761,100,192.037909,False
1.276426,100,195.980525,False
-0.14164,100,199.922084,False
1.058943,100,203.794906,False
-9.621972,98,213.550422,False
1.263757,100,217.744713,False
1.406052,100,221.567297,False
0.811849,100,224.966095,False
-4.030064,100,228.791862,False
22.110971,90,232.202416,True
0.075347,100,236.031108,False
1.209701,100,240.164242,False
1.35922,100,243.821826,False
0.885246,100,247.39776,False
0.628668,100,251.093651,False
0.558709,100,254.886753,False
0.448859,100,259.381436,False
-7.490998,87,262.679927,False
0.447477,100,266.285152,False
1.210052,100,269.917366,False
20.860212,38,271.25057,True
0.811706,100,275.251649,False
20.821047,26,276.887759,True
0.754075,100,281.012922,False
0.54403,100,284.894552,False
0.589693,100,288.785509,False
-12.377036,81,291.988055,False
1.30215,100,296.046876,False
0.570775,100,300.87686,False
0.884112,100,304.880865,False
1.154411,100,308.906473,False
0.501007,100,321.30837,False
1.733801,100,325.16802,False
1.174809,100,329.588169,False
0.623935,100,333.394455,False
0.509227,100,337.168707,False
0.77451,100,341.061413,False
1.263956,100,344.988624,False
1.461429,100,349.51854,False
1.123906,100,353.458283,False
-10.46295,74,356.409619,False
0.658021,100,360.486996,False
0.782123,100,364.655188,False
1.581357,100,369.344389,False
0.436393,100,373.353144,False
1.186249,100,377.370517,False
0.526357,100,381.463482,False
0.020643,100,385.58991,False
1.275103,100,390.301693,False
1.120408,100,394.167684,False
0.733974,100,398.064692,False
0.201874,100,402.092997,False
0.872077,100,406.304308,False
-15.50779,92,410.191239,False
1.217434,100,415.035107,False
1.534031,100,419.095113,False
1.080274,100,430.986366,False
0.975977,100,434.470765,False
1.497193,100,437.933734,False
0.574042,100,441.966081,False
0.026787,100,445.428949,False
-10.932429,76,448.057645,False
1.083356,100,451.593512,False
0.973021,100,455.260853,False
0.211624,100,459.429055,False
0.638488,100,463.057169,False
1.359787,100,466.915715,False
0.623457,100,471.767477,False
-2.273057,100,475.993889,False
0.51443,100,481.12457,False
1.024633,100,485.264345,False
1.152084,100,489.302746,False
-10.5977,78,492.536855,False
1.513628,100,496.749616,False
0.666943,100,501.748239,False
21.479407,62,504.480454,True
1.03914,100,508.680663,False
1.041808,100,512.654111,False
0.893053,100,516.631492,False
1.402772,100,520.695091,False
