#{"t_start": 1785303116.0920792, "env_id": "None"}
r,l,t,is_success
1.192014,100,6.445235,False
1.017171,100,9.938282,False
0.641749,100,13.539369,False
0.147577,100,17.169152,False
1.448154,100,20.790231,False
0.507399,100,24.744977,False
0.69261,100,28.216892,False
0.601033,100,31.720088,False
0.258384,100,35.27539,False
0.450446,100,39.218951,False
1.219211,100,43.207518,False
0.814588,100,47.038286,False
0.477095,100,50.479333,False
1.271197,100,53.914777,False
0.691869,100,57.335385,False
0.506325,100,61.145327,False
0.459028,100,64.5052,False
0.665984,100,67.946022,False
0.470432,100,71.429393,False
0.891837,100,74.96809,False
0.917145,100,78.74539,False
0.930149,100,82.164839,False
0.444788,100,85.587373,False
0.894521,100,89.107186,False
-9.599937,19,89.743165,False
1.264297,100,98.981809,False
0.714835,100,102.789067,False
1.361029,100,106.449347,False
0.496508,100,109.975118,False
0.877387,100,113.488892,False
0.955042,100,117.320665,False
-14.961944,60,120.47091,False
-16.25069,60,122.883651,False
0.723936,100,127.040117,False
1.073066,100,132.075436,False
-13.842416,49,134.623931,False
-13.055343,86,138.607379,False
1.6799,100,143.428328,False
0.753329,100,148.828378,False
1.030736,100,153.206694,False
21.135909,83,156.737723,True
1.629744,100,163.236507,False
-10.608376,79,166.556031,False
0.754037,100,172.068911,False
0.918572,100,176.326269,False
22.060923,66,179.551104,True
1.219532,100,183.204992,False
-10.573685,22,184.010421,False
-20.901835,31,185.139163,False
0.851632,100,188.573817,False
0.66679,100,192.746313,False
0.823832,100,196.684209,False
-0.055578,100,200.548113,False
21.695355,92,204.094283,True
0.704584,100,213.937023,False
0.782627,100,218.126623,False
-11.817901,21,218.875891,False
0.973848,100,222.598272,False
0.428438,100,226.317299,False
0.243634,100,229.909013,False
0.774546,100,233.712739,False
0.654447,100,238.101895,False
0.664275,100,241.725639,False
0.913173,100,245.240147,False
0.484842,100,248.974684,False
0.446093,100,252.63678,False
-11.825442,69,255.279868,False
-10.265616,25,256.928104,False
1.251187,100,260.776611,False
-0.226773,100,264.524775,False
1.482881,100,268.110706,False
-10.276442,67,270.445954,False
0.952116,100,274.388961,False
0.646093,100,279.187804,False
0.944814,100,283.052134,False
1.626869,100,286.780639,False
0.77107,100,290.818207,False
-10.566974,83,294.161651,False
1.80883,100,299.005132,False
-9.188915,78,302.107421,False
0.294007,100,306.080415,False
-11.053064,86,309.565572,False
0.450262,100,321.961638,False
1.370574,100,325.790184,False
1.054897,100,330.243536,False
1.040263,100,334.020317,False
-13.196705,74,336.833753,False
0.418943,100,340.708977,False
-11.53372,64,343.175126,False
1.027356,100,347.716999,False
1.00292,100,351.622681,False
-0.354172,100,355.626718,False
1.441242,100,359.709657,False
0.32517,100,363.895297,False
1.549395,100,368.589776,False
22.025334,52,370.634509,True
-14.810543,59,373.02869,False
0.639854,100,377.058094,False
0.933425,100,381.140487,False
1.515562,100,385.251864,False
0.890439,100,389.976046,False
