#{"t_start": 1785317522.183168, "env_id": "None"}
r,l,t,is_success
0.364848,100,6.223718,False
2.322579,100,9.649316,False
1.326069,100,13.231222,False
2.884126,100,16.813745,False
-3.411571,100,20.274364,False
-9.83255,84,23.973817,False
0.832166,100,27.58523,False
0.663336,100,31.687022,False
0.832927,100,35.587044,False
0.808431,100,39.020242,False
0.615669,100,43.067782,False
21.854521,66,45.494516,True
0.704363,100,48.885482,False
2.492661,100,52.341517,False
-2.583115,100,55.813803,False
22.575758,84,58.65578,True
-0.721797,100,62.556882,False
1.575496,100,65.988076,False
0.688623,100,69.463126,False
1.887233,100,72.980656,False
1.146141,100,76.385888,False
1.171494,100,80.388929,False
1.655277,100,83.772815,False
1.190903,100,87.286779,False
0.858477,100,90.752141,False
1.278507,100,99.399395,False
1.013704,100,103.307336,False
21.189299,30,104.321658,True
-16.006708,89,107.471545,False
0.981753,100,110.907685,False
0.985343,100,114.594407,False
0.580573,100,118.195994,False
-12.969139,57,120.611856,False
3.461065,100,124.000742,False
1.192907,100,127.540791,False
1.800617,100,130.975316,False
-9.67168,81,133.717701,False
1.540893,100,137.634387,False
0.304841,100,141.043644,False
1.228011,100,144.411933,False
0.924592,100,147.913097,False
2.192943,100,151.302602,False
0.753631,100,154.763774,False
1.635468,100,158.65136,False
0.972743,100,162.214578,False
1.145235,100,165.659022,False
0.227417,100,169.178429,False
2.32433,100,172.612508,False
1.379531,100,176.533757,False
0.734882,100,179.914241,False
1.018175,100,183.300068,False
1.326231,100,186.729577,False
21.138747,64,194.318788,True
2.372295,100,198.178861,False
0.988297,100,201.574012,False
0.555509,100,205.016442,False
0.9324,100,208.460928,False
1.350025,100,211.865432,False
1.962427,100,215.754459,False
1.013436,100,219.137833,False
2.795519,100,222.863702,False
-12.635412,47,224.457149,False
21.849884,42,225.890743,True
-10.121867,85,228.893571,False
0.618412,100,232.4093,False
0.924945,100,236.370044,False
0.797509,100,239.889045,False
1.59435,100,243.534034,False
21.912982,95,246.984013,True
0.900657,100,250.81054,False
1.148433,100,255.120789,False
1.280002,100,258.831203,False
1.439715,100,262.622317,False
22.402094,69,265.191398,True
1.654286,100,269.112086,False
21.387089,34,270.381679,True
-8.053525,70,273.596224,False
21.161002,33,274.798336,True
-10.212185,62,277.013147,False
1.06582,100,280.650157,False
-10.403704,65,282.980647,False
-12.810727,98,293.161611,False
-9.637386,60,295.193944,False
2.544932,100,299.191649,False
1.120823,100,302.671878,False
22.387853,63,304.83676,True
1.219068,100,308.490168,False
0.428094,100,312.068397,False
1.522912,100,315.643401,False
-15.801229,78,319.207121,False
0.43092,100,322.994992,False
1.203185,100,326.685862,False
21.476561,69,329.230385,True
0.999489,100,332.968828,False
0.556575,100,337.333814,False
-11.37482,68,340.310712,False
21.294603,50,342.295998,True
21.24488,67,344.957857,True
22.735362,95,348.547183,True
22.99889,88,351.9306,True
21.117856,39,353.420554,True
21.401656,75,356.362053,True
-12.580764,71,359.626364,False
-4.138217,100,363.350354,False
-0.16182,100,367.072732,False
21.249486,62,369.384795,True
21.728611,58,371.595491,True
-17.417736,37,372.974453,False
0.557045,100,377.288801,False
-12.381486,69,380.073951,False
22.559984,86,383.499427,True
1.269496,100,388.184653,False
0.671727,100,400.99418,False
-11.606872,74,403.954861,False
-0.746826,100,408.575487,False
22.910924,71,411.378855,True
-12.617311,78,414.69153,False
22.787416,80,417.903279,True
1.198531,100,422.089733,False
-9.449713,68,424.901291,False
22.562297,75,427.730264,True
-9.888132,83,431.770808,False
2.140235,100,436.192011,False
0.637452,100,440.213807,False
0.931819,100,444.104209,False
-1.37362,100,447.99584,False
-11.192152,41,449.656809,False
1.739766,100,454.258886,False
0.955879,100,458.165814,False
21.576881,74,461.068273,True
22.148898,76,464.087853,True
-15.899826,73,467.001558,False
0.59874,100,471.44231,False
0.87089,100,475.34215,False
-8.854539,63,477.709556,False
-8.772166,86,480.953744,False
22.03938,74,483.790624,True
1.161864,100,487.550647,False
0.886044,100,491.927558,False
21.077146,55,493.984502,True
20.980139,62,496.314257,True
0.839098,100,506.456467,False
20.891529,75,509.099423,True
-9.405136,92,512.466454,False
0.294358,100,515.984452,False
22.377517,82,519.567525,True
1.200814,100,523.443322,False
0.012163,100,527.267635,False
22.065303,73,530.025905,True
21.809215,89,533.375357,True
0.854736,100,537.749174,False
22.432841,77,540.7025,True
0.677942,100,544.670215,False
0.511236,100,548.546707,False
-8.750935,48,550.555511,False
0.875115,100,554.434167,False
1.482285,100,558.949492,False
-1.020508,100,562.898339,False
1.102141,100,566.780637,False
22.403014,71,569.54028,True
1.343111,100,573.418329,False
-11.200426,58,575.672016,False
22.125786,43,577.337447,True
-12.224726,78,581.061017,False
1.241302,100,584.967611,False
1.218975,100,589.375024,False
-11.153224,86,592.764082,False
-9.856051,77,595.759847,False
1.310825,100,600.327467,False
1.188227,100,604.229719,False
0.535812,100,616.288002,False
1.771841,100,620.546387,False
0.568209,100,625.002812,False
22.313195,46,627.117948,True
21.431005,73,630.941409,True
2.436898,100,635.23312,False
-12.069049,96,639.137231,False
-3.297062,100,643.220835,False
21.67175,94,647.094856,True
1.655892,100,651.882157,False
21.706498,68,654.63395,True
0.940133,100,659.085135,False
21.930621,69,662.434374,True
2.788184,100,667.692131,False
2.028451,100,672.034519,False
-12.221607,97,676.814709,False
-11.059067,46,678.934711,False
1.244504,100,683.609013,False
21.849837,48,685.632944,True
0.438564,100,689.907383,False
21.755933,85,693.564149,True
21.752119,66,696.33382,True
21.446893,76,700.221232,True
-9.638358,97,704.571497,False
22.381172,67,707.413411,True
22.452873,66,710.085584,True
-11.593254,100,714.200325,False
-11.240482,69,716.981467,False
0.799738,100,721.769257,False
1.381779,100,733.6456,False
21.43789,78,736.497632,True
-10.538022,95,740.117941,False
-10.316214,28,741.188907,False
22.578953,84,744.24897,True
0.713493,100,748.37278,False
22.014848,83,752.382808,True
-12.239949,55,754.55566,False
-9.039849,97,758.713169,False
1.272364,100,762.944284,False
1.069258,100,767.466525,False
1.453644,100,772.521028,False
0.809508,100,776.838709,False
1.179653,100,781.457669,False
1.291456,100,786.034651,False
2.839902,100,790.998524,False
21.659836,78,794.600537,True
0.995745,100,800.062724,False
22.306717,93,804.310318,True
-14.249207,85,808.152859,False
-7.976958,45,810.137222,False
22.507347,96,814.453239,True
2.149203,100,819.291502,False
-0.229858,100,824.608354,False
22.48134,97,828.747409,True
21.497857,68,831.585382,True
-10.21594,76,834.649577,False
21.647818,65,837.332394,True
-3.501934,100,841.621203,False
1.666512,100,856.067002,False
1.773957,100,860.694937,False
-11.584926,97,865.180615,False
1.495336,100,869.589717,False
21.609218,66,872.614214,True
22.642268,93,877.729124,True
0.362366,100,883.243252,False
0.944306,100,888.361927,False
-10.426713,79,892.170336,False
1.058266,100,896.630742,False
-10.858442,84,900.392729,False
21.702293,57,903.596038,True
0.801861,100,907.969974,False
1.265211,100,912.331304,False
1.519164,100,916.680066,False
-1.320722,100,920.925347,False
22.123265,67,923.755001,True
-10.133161,65,927.282632,False
-5.421243,100,931.38053,False
-8.860702,94,935.265101,False
1.550062,100,939.346798,False
1.35363,100,943.391392,False
2.033213,100,948.079403,False
2.687699,100,951.97669,False
-9.934943,43,953.667202,False
0.863564,100,957.8171,False
22.310163,87,961.235947,True
1.53362,100,965.215025,False
0.954558,100,975.391871,False
0.623534,100,979.203537,False
-9.386933,88,982.536407,False
0.269416,100,986.31247,False
1.493783,100,990.193598,False
-13.210288,86,994.351279,False
1.4907,100,998.421847,False
-12.172455,39,999.930367,False
1.681994,100,1003.864936,False
0.602184,100,1007.906234,False
22.06512,70,1010.788336,True
0.741733,100,1015.706553,False
0.874287,100,1019.740771,False
0.500088,100,1024.018332,False
1.310429,100,1028.077597,False
1.380578,100,1032.213857,False
1.535262,100,1036.908152,False
0.710272,100,1040.977064,False
21.52745,74,1043.993606,True
-9.413294,77,1047.149497,False
0.715268,100,1051.269189,False
-0.070832,100,1055.301234,False
21.545341,27,1056.390532,True
-11.280135,81,1060.305487,False
1.819818,100,1064.366015,False
-9.494509,81,1067.714836,False
0.617819,100,1071.823478,False
-10.669103,80,1075.040493,False
1.005005,100,1087.813794,False
1.177586,100,1091.490183,False
21.612454,42,1093.02012,True
1.110252,100,1096.648531,False
1.271935,100,1100.307247,False
0.583472,100,1104.061413,False
-2.084555,100,1108.493934,False
1.627322,100,1112.543372,False
-12.153086,34,1113.866051,False
1.530165,100,1118.800489,False
0.817238,100,1123.323618,False
0.569487,100,1127.428049,False
1.157748,100,1132.174539,False
0.895414,100,1136.642848,False
0.896801,100,1140.679712,False
-8.708553,71,1143.749434,False
1.465974,100,1148.648398,False
1.126722,100,1154.523609,False
1.361136,100,1159.178975,False
1.552352,100,1163.753282,False
1.452859,100,1168.699216,False
20.956175,23,1169.767645,True
1.364512,100,1174.354168,False
0.879672,100,1179.761364,False
0.584761,100,1184.319072,False
0.789369,100,1188.987108,False
1.590243,100,1193.70756,False
0.906114,100,1208.382366,False
-0.307746,100,1213.634766,False
1.820774,100,1218.175531,False
1.614782,100,1222.679429,False
1.423363,100,1227.202362,False
1.593414,100,1231.448344,False
-12.102756,31,1232.834892,False
0.685131,100,1237.934287,False
2.090929,100,1242.503403,False
1.280443,100,1246.96619,False
22.769246,71,1250.206529,True
1.204697,100,1254.454492,False
21.727633,85,1258.289102,True
2.648016,100,1263.253315,False
0.760604,100,1267.507826,False
-0.408934,100,1271.751656,False
0.751537,100,1275.850187,False
0.70042,100,1280.31041,False
1.4424,100,1285.638855,False
21.387395,60,1288.24632,True
1.838613,100,1292.549596,False
1.288822,100,1297.078815,False
1.657334,100,1301.790897,False
2.035111,100,1306.985748,False
