#{"t_start": 1785317522.183341, "env_id": "None"}
r,l,t,is_success
-10.475673,94,6.016339,False
1.061254,100,9.448057,False
0.627246,100,13.027183,False
2.123237,100,16.604613,False
1.05706,100,20.065045,False
1.354467,100,24.387937,False
0.844019,100,27.936238,False
0.925836,100,32.228441,False
1.292115,100,35.92521,False
0.588944,100,39.420907,False
2.038273,100,43.512875,False
-9.836116,91,46.692372,False
1.426665,100,50.144071,False
22.275941,71,52.544005,True
22.538104,40,53.957367,True
0.741787,100,57.371363,False
1.153693,100,61.257732,False
1.613599,100,64.689238,False
21.767042,56,66.605071,True
-14.08527,45,68.137816,False
21.788791,58,70.239262,True
1.289244,100,73.698943,False
1.426903,100,77.576128,False
-9.508782,62,79.81817,False
1.603596,100,83.194808,False
21.237417,52,84.970948,True
2.405721,100,88.52869,False
1.414283,100,91.941276,False
1.003791,100,101.096088,False
2.323748,100,104.485855,False
1.67043,100,108.075583,False
1.640371,100,111.468888,False
-11.93809,85,114.629537,False
1.571274,100,118.230517,False
-12.832866,78,121.356019,False
1.038105,100,124.750411,False
0.7768,100,128.286106,False
21.883561,71,130.739683,True
-19.281361,23,131.519069,False
1.538372,100,134.889642,False
-10.129083,20,135.585863,False
0.996302,100,139.500752,False
-9.843613,85,142.388587,False
-12.973213,58,144.342866,False
2.298594,100,147.845952,False
-1.41362,100,151.233093,False
-9.968007,86,154.156714,False
0.917089,100,158.114642,False
1.058978,100,161.677166,False
-10.891365,50,163.366995,False
1.3635,100,166.835458,False
21.390016,66,169.178287,True
1.104188,100,172.611267,False
1.360821,100,176.533991,False
1.841715,100,179.915552,False
-10.244599,60,181.951809,False
0.705594,100,185.384753,False
1.033082,100,194.181582,False
22.275767,70,197.031253,True
2.815786,100,200.408078,False
1.136999,100,203.874285,False
1.771516,100,207.282762,False
-10.129909,26,208.196217,False
1.668244,100,211.594488,False
-0.063586,100,215.482892,False
22.454367,92,218.597228,True
1.079993,100,222.250021,False
0.64712,100,225.712612,False
0.879157,100,229.233758,False
1.593501,100,232.744422,False
1.527587,100,236.717481,False
0.691435,100,240.291668,False
-1.532169,100,243.898367,False
0.824235,100,247.518355,False
1.055053,100,251.366702,False
-11.65795,83,255.049652,False
1.417728,100,258.757927,False
1.211821,100,262.549393,False
21.502489,72,265.229466,True
1.269741,100,269.144822,False
-9.744997,84,272.891994,False
-12.475979,90,276.159657,False
1.529677,100,279.785241,False
0.95489,100,283.37755,False
0.845711,100,293.600048,False
-10.923498,48,295.228624,False
1.319835,100,299.224856,False
-8.413901,78,301.96507,False
1.560867,100,305.388828,False
21.918139,65,307.81978,True
-0.717866,100,311.388121,False
1.714828,100,314.953913,False
1.613298,100,319.318399,False
-14.863413,75,322.176126,False
-0.563493,100,325.877405,False
0.928511,100,329.563106,False
1.424184,100,333.302894,False
1.43101,100,337.743626,False
22.019544,81,341.2013,True
22.450067,41,342.821125,True
-11.057956,100,346.662461,False
0.96622,100,350.48709,False
1.354132,100,354.359863,False
1.965212,100,358.795207,False
22.105126,88,362.083798,True
1.015231,100,365.786635,False
1.275799,100,369.53534,False
-10.265034,99,373.269396,False
-11.305435,95,377.398812,False
-1.004396,100,381.422447,False
-9.221201,86,385.205541,False
-9.69714,85,397.553514,False
2.340989,100,401.770929,False
1.336327,100,405.751551,False
0.42773,100,410.296499,False
-12.860487,57,412.767758,False
21.838933,48,414.732495,True
-9.770709,79,417.903806,False
0.846092,100,422.086578,False
-9.301928,61,424.636687,False
-1.066197,100,429.055774,False
-1.343917,100,433.402309,False
2.226303,100,437.601558,False
2.057826,100,441.574225,False
21.703631,42,443.212526,True
1.63122,100,447.109251,False
