#{"t_start": 1785317522.183136, "env_id": "None"}
r,l,t,is_success
1.179115,100,6.223652,False
-10.952049,75,8.803534,False
1.210875,100,12.369857,False
1.684719,100,15.930207,False
1.925841,100,19.407232,False
22.201598,90,23.237702,True
-12.310117,79,26.151823,False
-11.883704,35,27.416647,False
0.795546,100,31.485727,False
-12.458607,68,34.326242,False
1.068113,100,37.763888,False
22.445608,59,39.83067,True
1.144867,100,43.943807,False
1.58785,100,47.402911,False
0.079832,100,50.852318,False
-9.510991,79,53.567766,False
1.066513,100,57.00136,False
0.600068,100,60.879322,False
0.684556,100,64.287261,False
0.868667,100,67.7139,False
1.301584,100,71.302865,False
1.50708,100,74.710738,False
0.631263,100,78.727984,False
-1.872823,100,82.102913,False
-0.590789,100,85.523904,False
0.915036,100,89.079777,False
1.317775,100,92.474769,False
1.48888,100,101.639805,False
0.866073,100,105.056212,False
0.855049,100,108.609592,False
1.038606,100,112.119483,False
0.410556,100,115.706838,False
1.212578,100,119.764371,False
1.700024,100,123.152667,False
-9.879329,51,124.891448,False
1.357641,100,128.421847,False
21.044078,56,130.366159,True
0.709612,100,133.755041,False
0.94965,100,137.668212,False
0.715049,100,141.079046,False
-11.863365,63,143.199945,False
2.479186,100,146.71787,False
22.326689,60,148.722021,True
1.323519,100,152.11639,False
2.938415,100,156.090399,False
-1.73297,100,159.637064,False
2.330347,100,163.030575,False
1.629452,100,166.476186,False
1.308473,100,169.987689,False
-0.148456,100,173.936673,False
21.484672,54,175.792191,True
1.272057,100,179.16667,False
1.599459,100,182.569299,False
-10.676647,95,185.818555,False
2.230508,100,194.622396,False
0.443129,100,198.489887,False
-1.61276,100,201.88153,False
0.855026,100,205.315188,False
1.495398,100,208.767249,False
0.800842,100,212.189824,False
1.594545,100,216.051889,False
1.427915,100,219.4403,False
22.166615,53,221.513687,True
0.750285,100,224.96572,False
1.615899,100,228.491282,False
21.861133,62,230.662973,True
1.34608,100,234.678141,False
21.421011,63,236.81795,True
0.70755,100,240.411343,False
0.912197,100,244.008713,False
-10.420893,57,246.072375,False
0.718303,100,249.891559,False
1.143438,100,254.197201,False
0.512649,100,257.907075,False
22.207973,63,260.306067,True
0.5477,100,264.03864,False
1.568507,100,267.836034,False
0.717405,100,271.696333,False
-11.451999,65,274.693819,False
2.490172,100,278.268034,False
0.733948,100,281.906148,False
0.564861,100,292.20001,False
0.976998,100,295.603773,False
1.158071,100,299.616286,False
21.872497,79,302.367011,True
1.670878,100,305.806971,False
-7.653584,59,308.031384,False
0.795384,100,311.604208,False
-13.490313,32,312.744576,False
1.548127,100,316.978462,False
1.511574,100,320.744071,False
1.734971,100,324.511822,False
1.213031,100,328.200906,False
1.448108,100,331.927185,False
1.03394,100,335.638311,False
-10.591033,78,339.61066,False
21.417554,92,343.229931,True
0.50262,100,347.073589,False
-10.807735,84,350.285607,False
0.812357,100,354.175151,False
1.238213,100,358.591286,False
0.879889,100,362.344154,False
23.149333,81,365.347462,True
22.182025,76,368.207109,True
0.786413,100,371.971676,False
-10.586496,93,375.425793,False
-13.566866,93,379.693509,False
21.710701,71,382.494304,True
1.23804,100,387.217804,False
1.216556,100,399.954671,False
-12.516075,53,402.213877,False
0.965403,100,406.103559,False
-13.350375,19,406.824946,False
1.479193,100,411.458706,False
-17.34746,48,413.574336,False
1.101134,100,417.567961,False
0.293337,100,421.756143,False
23.094851,81,425.089487,True
20.972056,45,426.791303,True
-10.540019,76,430.398672,False
21.211769,71,433.630857,True
22.442545,61,436.191938,True
22.29688,42,437.872839,True
22.294622,69,440.640695,True
-16.262186,28,441.730039,False
0.838177,100,445.626734,False
0.733261,100,449.580209,False
-1.128612,100,454.179703,False
1.052885,100,458.08467,False
-9.223199,52,460.131352,False
-9.17375,66,462.742785,False
0.782813,100,466.728884,False
21.595128,52,468.758148,True
1.388333,100,473.141399,False
-12.146745,61,475.564401,False
-14.229985,73,478.318448,False
0.4692,100,482.078302,False
0.792317,100,485.900831,False
21.081564,76,488.756003,True
-2.614894,100,493.123578,False
0.594303,100,496.875037,False
0.500014,100,506.985958,False
-15.69561,66,509.311266,False
0.458545,100,512.957319,False
21.696835,81,515.809916,True
1.572646,100,520.199146,False
0.753738,100,523.918368,False
-7.94536,81,526.994863,False
1.301544,100,530.820165,False
0.750178,100,534.581978,False
2.631503,100,538.965954,False
-1.622272,100,542.926616,False
0.758018,100,546.802466,False
0.77118,100,550.830117,False
20.891654,66,553.38634,True
-11.080011,96,557.733089,False
1.774981,100,561.693776,False
1.663172,100,565.572879,False
0.897191,100,569.462077,False
2.487472,100,573.336443,False
-11.278261,70,576.059544,False
22.238051,54,578.784688,True
0.953435,100,582.736368,False
-12.478623,74,585.943566,False
-16.245272,67,588.689014,False
1.806989,100,592.686605,False
0.520896,100,596.573641,False
1.289696,100,601.150956,False
-16.565409,99,605.003557,False
-9.313533,93,616.853128,False
21.206691,73,619.92921,True
0.363217,100,624.350074,False
1.643134,100,628.884298,False
-9.349535,70,632.409454,False
0.560583,100,636.750457,False
2.397021,100,640.815159,False
0.959298,100,644.886498,False
21.635516,64,647.592155,True
1.431121,100,652.325869,False
0.390343,100,656.603226,False
-12.28315,77,660.014258,False
21.637197,82,664.444132,True
21.427667,71,667.865375,True
1.291985,100,672.20453,False
-4.108809,100,677.113457,False
0.500431,100,681.948687,False
1.958096,100,686.171998,False
1.430808,100,690.475059,False
1.825496,100,694.74371,False
-11.247071,92,699.28872,False
-1.072132,100,703.691471,False
0.138381,100,707.980567,False
0.765356,100,712.019808,False
22.293781,70,714.92678,True
-1.041822,100,718.960057,False
0.697132,100,723.750791,False
20.948705,24,732.65593,True
1.531865,100,736.31702,False
21.475096,66,738.738775,True
21.329671,61,741.153499,True
0.714932,100,744.789738,False
2.610738,100,749.726693,False
21.646998,74,752.622837,True
1.664033,100,756.6076,False
0.337793,100,761.080422,False
0.819535,100,765.319606,False
-9.335426,84,769.154246,False
21.549372,45,771.808717,True
22.029856,52,774.077496,True
21.953386,90,777.891357,True
22.082692,54,780.489743,True
22.373145,93,784.717825,True
22.06337,90,789.193947,True
21.604244,71,792.512229,True
0.599965,100,797.972256,False
-9.031448,99,802.533937,False
1.145946,100,807.07031,False
21.63089,69,810.138537,True
-10.518946,84,813.790053,False
2.2667,100,818.758799,False
1.335808,100,824.110177,False
-0.484924,100,828.371927,False
-10.608382,47,830.351667,False
2.728697,100,834.403196,False
0.947417,100,838.508558,False
-2.224079,100,843.919199,False
-0.622614,100,857.375712,False
-11.589275,83,861.271412,False
1.074284,100,865.843491,False
0.749737,100,870.248708,False
20.921845,19,871.150783,True
22.28632,55,873.66541,True
21.456975,49,876.685589,True
-12.360052,30,878.164933,False
1.090509,100,883.663806,False
-10.983586,86,888.134617,False
-9.63524,97,892.739618,False
0.679607,100,897.209335,False
0.79947,100,902.367918,False
0.561201,100,906.747771,False
-0.670816,100,911.135139,False
0.831984,100,915.431825,False
