#{"t_start": 1785317522.1832478, "env_id": "None"}
r,l,t,is_success
1.303789,100,6.223362,False
2.593484,100,9.649533,False
0.841913,100,13.23054,False
0.513133,100,16.812979,False
22.409915,70,19.232542,True
1.025673,100,23.410377,False
21.771979,74,26.151066,True
1.843965,100,29.663628,False
0.740999,100,34.219135,False
0.678838,100,37.666224,False
1.57708,100,41.698846,False
1.20358,100,45.289548,False
0.854744,100,48.686213,False
2.693103,100,52.144323,False
1.233961,100,55.611856,False
21.476516,66,57.848302,True
-9.893348,74,60.844452,False
0.955804,100,64.254571,False
-9.093983,85,67.174975,False
1.186163,100,70.72967,False
0.917369,100,74.175147,False
21.460897,63,76.315263,True
0.702838,100,80.321203,False
22.094127,93,83.467993,True
2.55074,100,86.976574,False
0.769037,100,90.445806,False
1.878008,100,99.09523,False
-2.071909,100,102.993899,False
0.330625,100,106.469683,False
22.486536,70,108.947233,True
1.656391,100,112.53064,False
-0.69557,100,116.136428,False
0.987027,100,120.106098,False
21.637712,57,122.032729,True
1.332722,100,125.463134,False
21.393517,55,127.438395,True
-10.873251,77,130.079083,False
22.630114,72,132.536857,True
0.775716,100,135.926207,False
-13.437904,50,138.144391,False
21.855143,66,140.383709,True
2.266081,100,143.768499,False
22.14943,49,145.426791,True
2.216335,100,148.922267,False
0.876936,100,152.326292,False
1.589238,100,156.293961,False
2.429496,100,159.835221,False
20.98708,74,162.352832,True
-18.983994,48,163.978659,False
2.249038,100,167.573686,False
0.873369,100,170.938567,False
0.828394,100,174.905615,False
-15.546444,80,177.616804,False
-8.335941,97,180.90126,False
0.83566,100,184.27544,False
-2.038521,100,193.060834,False
20.936473,66,195.358044,True
1.200645,100,199.231011,False
0.692384,100,202.621863,False
0.772414,100,206.066115,False
0.682376,100,209.511645,False
0.993094,100,212.952715,False
0.799133,100,216.795581,False
-0.905298,100,220.445621,False
22.006636,43,221.915868,True
1.555338,100,225.372764,False
-0.263408,100,228.891661,False
21.387111,87,231.977927,True
1.671187,100,235.932236,False
2.20785,100,239.426973,False
-14.421895,99,243.034861,False
21.878966,78,245.849846,True
21.754577,66,248.242604,True
2.585903,100,252.708922,False
-8.350764,55,254.756102,False
1.463595,100,258.466197,False
-10.278912,100,262.250675,False
-13.768474,72,264.926858,False
-9.340373,45,266.662457,False
-9.358354,80,269.781779,False
0.717656,100,274.114074,False
2.535486,100,277.697964,False
0.870598,100,281.328944,False
1.217881,100,291.656027,False
2.8163,100,295.058946,False
0.198965,100,299.05803,False
21.041234,29,300.05428,True
21.974947,83,302.942771,True
-1.643841,100,306.470042,False
-12.483362,87,309.634429,False
21.732011,66,311.995438,True
22.106636,77,314.740403,True
-10.173226,95,318.914543,False
0.726207,100,322.698985,False
2.610445,100,326.391071,False
2.412118,100,330.083153,False
-16.390332,34,331.358428,False
1.978769,100,335.080949,False
22.360447,61,338.204618,True
-12.135273,87,341.801529,False
0.961855,100,345.699384,False
1.147975,100,349.472011,False
0.452566,100,353.340334,False
0.112869,100,357.816561,False
-0.546912,100,361.559066,False
21.554726,64,363.942188,True
1.171802,100,367.687414,False
0.480179,100,371.447753,False
1.54906,100,375.16886,False
0.698797,100,379.692471,False
22.15577,62,382.127744,True
1.633736,100,386.851011,False
-11.781742,87,398.834924,False
22.684241,70,401.947882,True
1.284719,100,405.90556,False
-14.033898,29,407.655863,False
0.822944,100,411.644903,False
-12.334785,94,415.592801,False
1.218428,100,419.639252,False
0.781931,100,423.946024,False
0.787339,100,427.730704,False
1.986793,100,432.562091,False
2.103324,100,436.86463,False
22.581611,55,439.041381,True
-9.534516,81,442.276612,False
20.803109,57,444.492159,True
-10.169652,86,447.837136,False
2.00996,100,452.475715,False
23.042955,86,455.851243,True
-12.252308,68,458.514758,False
-18.758958,41,460.13124,False
1.118276,100,464.087383,False
